# Image Upload Manifest - Wed Jan 21 14:38:58 CET 2026
# Format: series|original_filename|blob_url

=== cruise-control ===
cruise-control|2f20eb_32f903bc51614469bb51924d2a31634c-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_32f903bc51614469bb51924d2a31634c-mv2.jpg
cruise-control|2f20eb_985bc7a22fb84aec99292baae15cf4e9-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_985bc7a22fb84aec99292baae15cf4e9-mv2.jpg
cruise-control|2f20eb_9cd2d7a5085044c78242d1f165b84712-mv2.png|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_9cd2d7a5085044c78242d1f165b84712-mv2.png
cruise-control|2f20eb_f1646719c78f4dff89ef5f39ac048929-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_f1646719c78f4dff89ef5f39ac048929-mv2.jpg
cruise-control|2f20eb_fcaec48bc3e94aa98785b5e11510d98b-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_fcaec48bc3e94aa98785b5e11510d98b-mv2.jpg
=== softcore-war ===
softcore-war|2f20eb_011b7f933c0a40ac982693cb94123c35-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_011b7f933c0a40ac982693cb94123c35-mv2.jpeg
softcore-war|2f20eb_2fcc4d104af44be2af1d7a4713c3aa1a-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_2fcc4d104af44be2af1d7a4713c3aa1a-mv2.jpg
softcore-war|2f20eb_34f2a966f1cf45caa4beee61964cfe3e-mv2.png|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_34f2a966f1cf45caa4beee61964cfe3e-mv2.png
softcore-war|2f20eb_4356f98f34f6478493e7d17e848bf1ac-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_4356f98f34f6478493e7d17e848bf1ac-mv2.jpeg
softcore-war|2f20eb_682629a9adc9462aa712864de7dc85ea-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_682629a9adc9462aa712864de7dc85ea-mv2.jpeg
softcore-war|2f20eb_83ded53edbe24aacb522b2e4fb11eceb-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_83ded53edbe24aacb522b2e4fb11eceb-mv2.jpeg
softcore-war|2f20eb_869e7c7033064fb58ceeaecc09159c76-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_869e7c7033064fb58ceeaecc09159c76-mv2.jpeg
softcore-war|2f20eb_9e95d45413184e24a9dd15ff31a7f073-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_9e95d45413184e24a9dd15ff31a7f073-mv2.jpg
softcore-war|2f20eb_d97fa34e9f444b47a034e5a8dde7f9ab-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_d97fa34e9f444b47a034e5a8dde7f9ab-mv2.jpg
softcore-war|2f20eb_e216e17cc44f4acd9a5228c6d7220be1-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_e216e17cc44f4acd9a5228c6d7220be1-mv2.jpeg
softcore-war|2f20eb_e74ae906157048a2b1c54611bcae9198-mv2.jpeg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_e74ae906157048a2b1c54611bcae9198-mv2.jpeg
=== power-play ===
power-play|2f20eb_23f7dabd87aa46be96c85fb1f73db65f-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_23f7dabd87aa46be96c85fb1f73db65f-mv2.jpg
power-play|2f20eb_60b886f7f240408a9a9d80e42bd776ec-mv2.png|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_60b886f7f240408a9a9d80e42bd776ec-mv2.png
power-play|2f20eb_908400eb90234821ba38a5caeb4098b2-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_908400eb90234821ba38a5caeb4098b2-mv2.jpg
power-play|2f20eb_b32563a3794841fc831cbb2ab80992f9-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_b32563a3794841fc831cbb2ab80992f9-mv2.jpg
power-play|2f20eb_b8c54a19da1145aca8e219ba42247b56-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_b8c54a19da1145aca8e219ba42247b56-mv2.jpg
power-play|2f20eb_bc1178f7f3a84862b76562a61f50bd67-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_bc1178f7f3a84862b76562a61f50bd67-mv2.jpg
=== unnatural-disasters ===
unnatural-disasters|2f20eb_00a0bda5b0cc4b3b9690e9a76d0a5b16-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_00a0bda5b0cc4b3b9690e9a76d0a5b16-mv2_d_1919_1919_s_2.jpg
unnatural-disasters|2f20eb_263ac18f298740fc823692bef985439b-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_263ac18f298740fc823692bef985439b-mv2_d_1919_1919_s_2.jpg
unnatural-disasters|2f20eb_7c2c837a3ad848aab81af740815b7be4-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_7c2c837a3ad848aab81af740815b7be4-mv2.jpg
unnatural-disasters|2f20eb_7dc614bde8be4b8b91f84c24d165fef5-mv2_d_1493_1493_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_7dc614bde8be4b8b91f84c24d165fef5-mv2_d_1493_1493_s_2.jpg
unnatural-disasters|2f20eb_81b6f078bc5d4ade86d6bdde7ea10635-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_81b6f078bc5d4ade86d6bdde7ea10635-mv2.jpg
unnatural-disasters|2f20eb_8fe4046a62a0441a9108b0708696479e-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_8fe4046a62a0441a9108b0708696479e-mv2_d_1919_1919_s_2.jpg
unnatural-disasters|2f20eb_95efd2708fe84d3a851ccbee321cfd52-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_95efd2708fe84d3a851ccbee321cfd52-mv2.jpg
unnatural-disasters|2f20eb_97e28dac4f8448b2a13e653676405149-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_97e28dac4f8448b2a13e653676405149-mv2_d_1919_1919_s_2.jpg
unnatural-disasters|2f20eb_a7b6c4d357714c348833b24654c6de1c-mv2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_a7b6c4d357714c348833b24654c6de1c-mv2.jpg
unnatural-disasters|2f20eb_a82b46db5ad04c639927698d2661e04c-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_a82b46db5ad04c639927698d2661e04c-mv2_d_1919_1919_s_2.jpg
unnatural-disasters|2f20eb_c09c50ed15f74699b3b52152285d9b71-mv2_d_1708_1279_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_c09c50ed15f74699b3b52152285d9b71-mv2_d_1708_1279_s_2.jpg
unnatural-disasters|2f20eb_f3f11f29dc8b469485d4c57ae1cc302b-mv2_d_1919_1919_s_2.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_f3f11f29dc8b469485d4c57ae1cc302b-mv2_d_1919_1919_s_2.jpg
=== love-threats ===
love-threats|2f20eb_0cb1b9be4376408d8c9af2769625d723-mv2_d_2523_2523_s_4_.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_0cb1b9be4376408d8c9af2769625d723-mv2_d_2523_2523_s_4_.jpg
love-threats|2f20eb_2d1e0a7f74fc46bcb76063123bed9cd4-mv2_d_3150_3150_s_4_.jpg|https://pbj78tn8g5vmaowa.public.blob.vercel-storage.com/2f20eb_2d1e0a7f74fc46bcb76063123bed9cd4-mv2_d_3150_3150_s_4_.jpg
